wallet_address,score
0x1A1E4708FCe01d805d6Ea468E3C1EF9D1106b1B5,7060
0x27326Bd8E518183c5266B031Cf90734e17dc4800,6975
0x4efd3CcFb7a1DE70e1B9553CD96f9579dAD10Ba3,6600
0x750a5987CC789Fbdb815cb4E727DDe22DBBb2479,6050
0xB6F28ae8f31D85dC27361852b986286113Bc588D,6010
0x1649b26eae366218F774286C38a167c1C69AFeCA,5750
0x81Ba93B26bCe8cA5d649B6607DF15E6D45462D8F,5650
0x470D235cA1CafF614AbEE02D98Ac3aa89A6758bD,5600
0x928E8b34e4585f259cD645C5b7E45Cec5aDdB845,5545
0x9D292255ddc87532974EF5b13CB5d8C44BFcab23,5445
0x39C2bdf8f9EEfD360e3cEB50271d714a60d5DED4,5355
0x3c0E0842368CcB8340C14bD89Db673FfdeF77Caa,5335
0x2EBa0a5d03b07af80e4E4ACe3bBFFE3A7d956bcB,5325
0x9F9EBCE72C0715CdbAD4d589986EB22F6782A1CE,5245
0xe72DFE268552aAf4A4dC37CEBB0608C16a6C43c5,5235
0x2E3FcA35CbBb34DC9005EeD1CdBfEfF763CcEECa,5050
0xEa43e51cb4BAc05e8352157bfBfC15c1d8Fda8a6,5050
0xd5Be83b342B5AD3D661Bc47D9531416A5ED94ede,5050
0x1db5Fd3c59e8A3723AB3F044304fDBfE6Dc4Aaba,5050
0x63A43A24DE2CE6B1BFED393f6FAD714B172a977e,5050
0x0Eb0ddfB4350Bae7435aCD27504926204235A9DE,5015
0x19d452Cc4f864dEeA6BFf1349a98916439F29db0,5000
0xAA31d1E2D0290D1208Ae76129D40491Bd7D24610,4970
0x4D42AEa6224e69e4Da8b175DA20642B3B7D4fD7C,4775
0x6D81FBdba7Cc3AFB7926F80C734965746b297668,4725
0xe9Ae1898004f6Ec27Cb02023cBDdc9Cc5345AAA3,4600
0xA490bA57D4a38EC8D6AcfbE3c202689d4D2B985E,4500
0xF98C418fa3d6c0E3B20388563c931a018d27eC94,4500
0xDA344364c9D8cF0C230d24552c61B5a978cbdDc5,4490
0xabB3639Ac7eA3fbD7e9bFD4d8Fd46CAd6c3056F6,4475
0x2444BAaDAAbB4D642397948F9D1C17D93B2F89d5,4450
0x87E226fefF949A36F66C2a1E6445A6E7d0778269,4425
0x8Ade80E9c115E28aB0F6277a650BC69A9b3B232F,4400
0xCC21A077be53bA34BFA0b485acE58AFbC7B74B8E,4400
0x073bE86D6cf0A64aCf4a67E302d021A2dD4bBa02,4400
0x821221842fD8c25f124165DF51a684A1C433f36E,4390
0x539B15C512b1e6dF24DCd2769C385037B6Ad833a,4375
0x58985d09Ae6Fa62ec524224EfcBB29101c65BAdd,4320
0x818f8f761aa9DCE13b71F48719e80A8ACf057090,4320
0xc65Aa07A7134B08a558cBc29ABa93CEBdfB02a33,4320
0x5B9828975e88C40Fbb601B53107D96985BBD2701,4315
0x18Ffe0eF3ab518d59E29d672FDdEF0d0131578A0,4245
0xDB94499A6fF41E4ed7850C13b4CA2dCAb3D40075,4235
0x43C8433545b5fD1478CAf6F887B5a32E65EC525a,4225
0x821d92E6E62A2004e2CEc914C23a9f346Add0331,4180
0x60de17b69d70C5E1f27255FA734e1fE9f43FB5Ee,4170
0xe77FB6d4a9d94d919FD290f2EF1a21b618Ba9EB2,4160
0x20EbaC3A9c15Da063D42B10063Ce7096c64c90B1,4150
0x82623bdcfe5e1f6d0b29b23DCA4d4a6E12cD452a,4130
0xa91E492b00c00B6A05186e85754133d2790ea009,4120
0xc908eBd8D0C40546E8E3ca3f3a80dbc1e8Fa01E5,4100
0x94E23585b4edA0f609DE06c03943599cac861183,4050
0x6fECeE89e588812Da36af94142168EcFE882C792,4050
0xE50e9E0DF3f0eb95E9285236Df56bC9126d2B71e,4025
0xC37DB623e694d6A631fcDF26d7Fcff46D68cA8E2,4000
0xbB0681e131d704cb86bdA625A730c7866e262A3A,3990
0xa8E17bE2B11E744561859C9C31EA060EE30bf37c,3970
0x2442dEc8C1B253E6c389214256350201C92f2B76,3925
0x57410251FA6A76FA79d6472ee912f1DD548b72a6,3900
0x63F20Df420aF1538E8Dbd60e975bF1E4D679cd98,3900
0x688449b3D1B832eFF8543f492DF3a215feE10dE7,3900
0xbAa9ff0A3358Ead2ff877E80020aF7bA4B205D7B,3895
0xf9141e1eEd58f571d5782ef20Ad5d47173AC6Acc,3875
0x7D691027e283B2Fb65d72D1ebadfAA2495640F18,3845
